Country/market,Sales,Population_N,console
Italy,"$ 123,7",60500000,Ps4
Italy,"$ 68,25",60500000,Psp
Italy,"$ 16,33",60500000,Psv
Italy,"$ 0,54",60500000,Sat
Italy,"$ 0,36",60500000,Scd
Italy,"$ 19,04",60500000,Snes
Italy,$ 0,60500000,Tg16
Italy,"$ 268,38",60500000,Wii
Italy,"$ 24,23",60500000,Wiiu
Italy,$ 0,60500000,Ws
Italy,"$ 280,58",60500000,X360
Italy,"$ 60,95",60500000,Xb
Italy,"$ 45,65",60500000,Xone
Japan,"$ 34,78",126500000,
Japan,$ 0,126500000,2600
Japan,"$ 0,1",126500000,3Do
Japan,"$ 97,35",126500000,3Ds
Japan,"$ 8,56",126500000,Dc
Japan,"$ 175,57",126500000,Ds
Japan,"$ 85,12",126500000,Gb
Japan,"$ 47,33",126500000,Gba
Japan,"$ 21,58",126500000,Gc
Japan,"$ 2,67",126500000,Gen
Japan,"$ 0,04",126500000,Gg
Japan,"$ 34,22",126500000,N64
Japan,"$ 98,65",126500000,Nes
Japan,"$ 1,44",126500000,Ng
Japan,"$ 0,17",126500000,Pc
Japan,"$ 0,03",126500000,Pcfx
Japan,"$ 139,82",126500000,Ps
Japan,"$ 139,2",126500000,Ps2
Japan,"$ 79,99",126500000,Ps3
Japan,"$ 14,3",126500000,Ps4
Japan,"$ 76,79",126500000,Psp
Japan,"$ 20,96",126500000,Psv
Japan,"$ 32,26",126500000,Sat
Japan,"$ 0,45",126500000,Scd
Japan,"$ 116,55",126500000,Snes
Japan,"$ 0,16",126500000,Tg16
Japan,"$ 69,35",126500000,Wii
Japan,"$ 12,79",126500000,Wiiu
Japan,"$ 1,42",126500000,Ws
Japan,"$ 12,43",126500000,X360
Japan,"$ 1,38",126500000,Xb
Japan,"$ 0,34",126500000,Xone
South Korea,"$ 92,04",51300000,
South Korea,"$ 0,91",51300000,2600
South Korea,$ 0,51300000,3Do
South Korea,"$ 12,63",51300000,3Ds
South Korea,"$ 0,27",51300000,Dc
South Korea,"$ 60,53",51300000,Ds
South Korea,"$ 8,2",51300000,Gb
South Korea,"$ 7,73",51300000,Gba
South Korea,"$ 5,18",51300000,Gc
South Korea,"$ 0,89",51300000,Gen
South Korea,$ 0,51300000,Gg
South Korea,"$ 4,38",51300000,N64
South Korea,"$ 5,31",51300000,Nes
South Korea,$ 0,51300000,Ng
South Korea,"$ 24,86",51300000,Pc
South Korea,$ 0,51300000,Pcfx
South Korea,"$ 40,91",51300000,Ps
South Korea,"$ 193,44",51300000,Ps2
South Korea,"$ 141,93",51300000,Ps3
South Korea,"$ 43,36",51300000,Ps4
South Korea,"$ 42,19",51300000,Psp
South Korea,"$ 8,45",51300000,Psv
South Korea,"$ 0,07",51300000,Sat
South Korea,"$ 0,05",51300000,Scd
South Korea,"$ 3,22",51300000,Snes
South Korea,$ 0,51300000,Tg16
South Korea,"$ 80,61",51300000,Wii
South Korea,"$ 6,45",51300000,Wiiu
South Korea,$ 0,51300000,Ws
South Korea,"$ 85,54",51300000,X360
South Korea,"$ 8,72",51300000,Xb
South Korea,"$ 11,92",51300000,Xone
Spain,"$ 257,17",46800000,
Spain,"$ 5,47",46800000,2600
Spain,$ 0,46800000,3Do
Spain,"$ 58,52",46800000,3Ds
Spain,"$ 1,69",46800000,Dc
Spain,"$ 194,65",46800000,Ds
Spain,"$ 47,82",46800000,Gb
Spain,"$ 75,25",46800000,Gba
Spain,"$ 38,71",46800000,Gc
Spain,"$ 5,52",46800000,Gen
Spain,$ 0,46800000,Gg
Spain,"$ 41,06",46800000,N64
Spain,"$ 21,15",46800000,Nes
Spain,$ 0,46800000,Ng
Spain,"$ 139,68",46800000,Pc
Spain,$ 0,46800000,Pcfx
Spain,"$ 213,6",46800000,Ps
Spain,"$ 339,29",46800000,Ps2
Spain,"$ 343,71",46800000,Ps3
Spain,"$ 123,7",46800000,Ps4
Spain,"$ 68,25",46800000,Psp
Spain,"$ 16,33",46800000,Psv
Spain,"$ 0,54",46800000,Sat
Spain,"$ 0,36",46800000,Scd
Spain,"$ 19,04",46800000,Snes
Spain,$ 0,46800000,Tg16
Spain,"$ 268,38",46800000,Wii
Spain,"$ 24,23",46800000,Wiiu
Spain,$ 0,46800000,Ws
Spain,"$ 280,58",46800000,X360
Spain,"$ 60,95",46800000,Xb
Spain,"$ 45,65",46800000,Xone
United Kingdom,"$ 257,17",67900000,
United Kingdom,"$ 5,47",67900000,2600
United Kingdom,$ 0,67900000,3Do
United Kingdom,"$ 58,52",67900000,3Ds
United Kingdom,"$ 1,69",67900000,Dc
United Kingdom,"$ 194,65",67900000,Ds
United Kingdom,"$ 47,82",67900000,Gb
United Kingdom,"$ 75,25",67900000,Gba
United Kingdom,"$ 38,71",67900000,Gc
United Kingdom,"$ 5,52",67900000,Gen
United Kingdom,$ 0,67900000,Gg
United Kingdom,"$ 41,06",67900000,N64
United Kingdom,"$ 21,15",67900000,Nes
United Kingdom,$ 0,67900000,Ng
United Kingdom,"$ 139,68",67900000,Pc
United Kingdom,$ 0,67900000,Pcfx
United Kingdom,"$ 213,6",67900000,Ps
United Kingdom,"$ 339,29",67900000,Ps2
United Kingdom,"$ 343,71",67900000,Ps3
United Kingdom,"$ 123,7",67900000,Ps4
United Kingdom,"$ 68,25",67900000,Psp
United Kingdom,"$ 16,33",67900000,Psv
United Kingdom,"$ 0,54",67900000,Sat
United Kingdom,"$ 0,36",67900000,Scd
United Kingdom,"$ 19,04",67900000,Snes
United Kingdom,$ 0,67900000,Tg16
United Kingdom,"$ 268,38",67900000,Wii
United Kingdom,"$ 24,23",67900000,Wiiu
United Kingdom,$ 0,67900000,Ws
United Kingdom,"$ 280,58",67900000,X360
United Kingdom,"$ 60,95",67900000,Xb
United Kingdom,"$ 45,65",67900000,Xone
United States,"$ 211,57",331000000,
United States,"$ 90,6",331000000,2600
United States,$ 0,331000000,3Do
United States,"$ 78,87",331000000,3Ds
United States,"$ 5,43",331000000,Dc
United States,"$ 390,71",331000000,Ds
United States,"$ 114,32",331000000,Gb
United States,"$ 187,54",331000000,Gba
United States,"$ 133,46",331000000,Gc
United States,"$ 19,27",331000000,Gen
United States,$ 0,331000000,Gg
United States,"$ 139,02",331000000,N64
United States,"$ 125,94",331000000,Nes
United States,$ 0,331000000,Ng
United States,"$ 93,28",331000000,Pc
United States,$ 0,331000000,Pcfx
United States,"$ 336,51",331000000,Ps
United States,"$ 583,84",331000000,Ps2
United States,"$ 392,26",331000000,Ps3
United States,"$ 96,8",331000000,Ps4
United States,"$ 108,99",331000000,Psp
United States,"$ 16,2",331000000,Psv
United States,"$ 0,72",331000000,Sat
United States,$ 1,331000000,Scd
United States,"$ 61,23",331000000,Snes
United States,$ 0,331000000,Tg16
United States,"$ 507,71",331000000,Wii
United States,"$ 38,32",331000000,Wiiu
United States,$ 0,331000000,Ws
United States,"$ 601,05",331000000,X360
United States,"$ 186,69",331000000,Xb
United States,"$ 83,19",331000000,Xone
